Team1,Team2,ML1,ML2,Winner
NewYork,Cleveland,355,-450,2
Utah,Portland,195,-235,2
SanAntonio,GoldenState,325,-400,1
Miami,Orlando,135,-155,1
Dallas,Indiana,185,-215,2
Detroit,Toronto,210,-260,2
Brooklyn,Boston,601,-902,2
Minnesota,Memphis,-120,100,2
Charlotte,Milwaukee,-120,100,1
OklahomaCity,Philadelphia,-460,365,1
Denver,NewOrleans,105,-125,1
Sacramento,Phoenix,130,-150,1
Houston,LALakers,-260,210,2
Washington,Atlanta,155,-175,2
Boston,Chicago,-105,-115,2
LAClippers,Portland,-140,120,1
SanAntonio,Sacramento,-360,295,1
Cleveland,Toronto,-145,125,1
Orlando,Detroit,160,-180,2
Indiana,Brooklyn,-230,190,2
Phoenix,OklahomaCity,280,-345,2
Charlotte,Miami,-120,100,1
Houston,Dallas,-130,110,1
LALakers,Utah,370,-465,2
GoldenState,NewOrleans,-1000,700,1
Atlanta,Philadelphia,-370,285,1
Boston,Charlotte,-145,125,1
Orlando,Cleveland,500,-800,2
Memphis,NewYork,135,-155,2
Brooklyn,Milwaukee,280,-360,2
Indiana,Chicago,145,-165,2
NewOrleans,SanAntonio,900,-1900,2
Portland,Denver,-125,105,1
Minnesota,Sacramento,-110,-110,2
Utah,LAClippers,295,-360,2
GoldenState,Phoenix,-791,570,1
Milwaukee,Detroit,250,-315,2
SanAntonio,Miami,-290,230,1
LALakers,OklahomaCity,355,-450,2
Washington,Memphis,-160,140,2
Dallas,Houston,200,-240,2
Denver,Toronto,230,-290,2
Chicago,Brooklyn,-245,205,1
Sacramento,Atlanta,250,-310,2
Phoenix,LAClippers,750,-1150,2
Houston,Cleveland,420,-540,2
LALakers,Indiana,355,-450,2
Orlando,Philadelphia,-202,172,1
NewYork,Detroit,150,-170,2
Sacramento,Miami,145,-165,2
Memphis,Minnesota,285,-350,2
Milwaukee,NewOrleans,145,-165,1
Utah,SanAntonio,435,-575,1
GoldenState,Portland,-240,200,1
Toronto,Washington,105,-125,1
Philadelphia,Charlotte,850,-1350,2
Houston,NewYork,-105,-115,1
LALakers,Atlanta,750,-1150,1
Detroit,Brooklyn,-170,150,2
NewOrleans,Memphis,175,-205,2
Chicago,Boston,144,-164,2
Dallas,Utah,140,-160,2
Portland,Phoenix,-150,130,2
OklahomaCity,LAClippers,240,-300,1
Sacramento,Orlando,-120,100,2
Boston,Cleveland,450,-700,2
Denver,Minnesota,145,-165,1
Indiana,Milwaukee,-145,125,2
OklahomaCity,GoldenState,525,-850,2
Atlanta,Washington,100,-120,2
Charlotte,Brooklyn,-275,225,1
Miami,Toronto,240,-300,2
NewYork,Chicago,255,-320,1
Phoenix,NewOrleans,125,-145,1
LAClippers,Memphis,-235,195,1
Portland,Dallas,-135,115,1
SanAntonio,Utah,-165,145,1
GoldenState,LALakers,-900,600,2
Minnesota,OklahomaCity,170,-200,2
Denver,Detroit,170,-200,2
Cleveland,Philadelphia,-1000,700,1
Washington,Orlando,220,-270,2
Chicago,Indiana,145,-165,2
Houston,Atlanta,135,-155,2
Sacramento,Milwaukee,145,-165,2
LAClippers,SanAntonio,170,-200,1
Utah,NewYork,-140,120,1
Portland,Memphis,-110,-110,1
Sacramento,Toronto,270,-330,1
Milwaukee,Dallas,135,-155,2
Denver,Boston,270,-330,1
Phoenix,LALakers,155,-175,2
Indiana,Charlotte,120,-140,2
Houston,Washington,-105,-115,1
Utah,Philadelphia,-200,170,1
Miami,OklahomaCity,190,-230,2
Orlando,Chicago,240,-300,2
Detroit,LAClippers,305,-375,2
NewOrleans,GoldenState,1700,-5000,2
Atlanta,Cleveland,300,-360,1
Minnesota,Brooklyn,-185,165,2
Denver,Memphis,145,-165,2
Phoenix,Portland,330,-400,2
NewOrleans,Sacramento,240,-280,2
Dallas,LALakers,165,-185,1
Minnesota,Orlando,120,-140,1
Brooklyn,NewYork,300,-360,2
Boston,Washington,105,-125,2
Utah,Charlotte,130,-150,2
Philadelphia,Indiana,650,-1000,2
Chicago,Atlanta,140,-160,2
Toronto,OklahomaCity,135,-155,1
Detroit,Phoenix,-180,160,2
Houston,SanAntonio,350,-420,1
Portland,LAClippers,500,-700,2
Dallas,GoldenState,1900,-9000,2
NewOrleans,Milwaukee,175,-205,1
Chicago,Miami,-103,-117,1
GoldenState,Denver,-270,220,1
LALakers,Sacramento,185,-215,1
Indiana,Philadelphia,-210,175,2
Utah,Orlando,-200,170,1
Cleveland,Washington,-350,275,1
Toronto,Charlotte,-115,-105,1
NewYork,Boston,160,-180,2
LAClippers,OklahomaCity,-200,170,1
Detroit,SanAntonio,375,-550,2
Sacramento,Portland,270,-340,2
Boston,Indiana,-125,105,1
LALakers,NewOrleans,-115,-105,1
NewYork,Toronto,260,-320,2
Philadelphia,Atlanta,1200,-2500,2
SanAntonio,Houston,-130,110,1
LAClippers,Minnesota,-220,180,1
Washington,Chicago,425,-650,2
Utah,Miami,-120,100,1
Memphis,Milwaukee,125,-145,2
Brooklyn,Phoenix,170,-200,1
Detroit,Denver,175,-210,1
Charlotte,Cleveland,260,-320,2
LALakers,Minnesota,-110,-110,2
Orlando,OklahomaCity,375,-550,1
Phoenix,GoldenState,1500,-5000,2
Denver,Portland,265,-330,2
Orlando,Indiana,290,-350,2
OklahomaCity,Detroit,-120,100,2
Dallas,NewYork,155,-175,2
Boston,NewOrleans,-165,145,2
Philadelphia,Houston,650,-1000,2
Miami,SanAntonio,550,-800,2
Memphis,Utah,220,-260,1
Brooklyn,LAClippers,1500,-5000,2
Toronto,Cleveland,210,-250,2
Atlanta,Miami,-265,225,1
Charlotte,Minnesota,-120,100,1
Chicago,Portland,170,-190,1
Brooklyn,LALakers,245,-290,2
Cleveland,Indiana,130,-150,2
NewOrleans,Orlando,270,-330,2
Washington,Philadelphia,-290,245,2
Milwaukee,Atlanta,190,-220,2
Dallas,Boston,210,-250,2
Detroit,NewYork,105,-125,2
GoldenState,Toronto,-240,200,1
Houston,OklahomaCity,120,-140,2
Phoenix,Denver,165,-185,2
SanAntonio,Sacramento,-230,195,1
Memphis,LAClippers,750,-1200,1
NewYork,Washington,175,-200,2
Milwaukee,Miami,150,-170,2
Portland,Houston,190,-220,2
Philadelphia,Minnesota,600,-900,2
Chicago,Utah,135,-155,1
Phoenix,Indiana,155,-175,1
Atlanta,Charlotte,110,-130,2
Detroit,Cleveland,350,-420,2
Brooklyn,OklahomaCity,400,-500,2
GoldenState,Boston,-400,330,1
Portland,NewOrleans,-110,-110,2
